invoice_id,property_id,billing_period,invoice_date,due_date,invoice_amount,amount_paid,payment_status,payment_date,dispute_reason,Data_Quality_Flag
INV-0001,P-001,FY2025-Q1,1/15/2025,2/14/2025,$398.65 ,$0.00 ,Past Due,,,
INV-0002,P-002,FY2025-Q1,1/15/2025,2/14/2025,$280.41 ,$280.41 ,Paid,2/5/2025,,
INV-0003,P-003,FY2025-Q1,1/15/2025,2/14/2025,$368.47 ,$368.47 ,Paid,2/10/2025,,
INV-0004,P-004,FY2025-Q1,1/15/2025,2/14/2025,$34.23 ,$0.00 ,Unpaid,,,
INV-0005,P-005,FY2025-Q1,1/15/2025,2/14/2025,$493.28 ,$493.28 ,Paid,2/11/2025,,
INV-0006,P-006,FY2025-Q1,1/15/2025,2/14/2025,$377.38 ,$0.00 ,Unpaid,,,
INV-0007,P-007,FY2025-Q1,1/15/2025,2/14/2025,$48.72 ,$48.72 ,Paid,2/9/2025,,
INV-0008,P-008,FY2025-Q1,1/15/2025,2/14/2025,"$1,065.86 ",$0.00 ,Unpaid,,,
INV-0009,P-009,FY2025-Q1,1/15/2025,2/14/2025,$29.99 ,$29.99 ,Paid,2/6/2025,,
INV-0010,P-010,FY2025-Q1,1/15/2025,2/14/2025,$395.07 ,$0.00 ,Unpaid,,,
INV-0011,P-011,FY2025-Q1,1/15/2025,2/14/2025,$278.94 ,$278.94 ,Paid,2/8/2025,,
INV-0012,P-012,FY2025-Q1,1/15/2025,2/14/2025,$345.92 ,$345.92 ,Paid,2/11/2025,,
INV-0013,P-013,FY2025-Q1,1/15/2025,2/14/2025,$246.44 ,$246.44 ,Paid,2/2/2025,,
INV-0014,P-014,FY2025-Q1,1/15/2025,2/14/2025,$531.18 ,$0.00 ,Past Due,,,
INV-0015,P-015,FY2025-Q1,1/15/2025,2/14/2025,$423.60 ,$313.78 ,Paid,2/8/2025,,Possible incorrect charge
INV-0016,P-016,FY2025-Q1,1/15/2025,2/14/2025,$459.53 ,$459.53 ,Paid,2/8/2025,,
