invoice_id,property_id,billing_period,invoice_date,due_date,invoice_amount,amount_paid,payment_status,payment_date,dispute_reason,billing_flag,city,property_type,impervious_area_sqft,owner_name,account_status,property_flag,rate_per_sqft,base_fee,expected_amount,billing_variance,outstanding_balance,final_quality_flag
INV-0001,P-001,FY2025-Q1,1/15/2025,2/14/2025,398.65,0.0,Past Due,,,,Pleasanton,Mixed Use,6224.0,Greenway Partners,Active,,0.052,75.0,398.65,0.0,398.65,
INV-0002,P-002,FY2025-Q1,1/15/2025,2/14/2025,280.41,280.41,Paid,2/5/2025,,,Danville,Municipal,7190.0,City Facilities Division,Inactive,,0.039,0.0,280.41,0.0,0.0,
INV-0003,P-003,FY2025-Q1,1/15/2025,2/14/2025,368.47,368.47,Paid,2/10/2025,,,Pleasanton,Municipal,9448.0,Tri-Valley Holdings,Inactive,,0.039,0.0,368.47,0.0,0.0,
INV-0004,P-004,FY2025-Q1,1/15/2025,2/14/2025,34.23,0.0,Unpaid,,,,Danville,Residential,815.0,City Facilities Division,Active,,0.042,0.0,34.23,0.0,34.23,
INV-0005,P-005,FY2025-Q1,1/15/2025,2/14/2025,493.28,493.28,Paid,2/11/2025,,,Danville,Commercial,6461.0,Ramirez Family Trust,Inactive,,0.057,125.0,493.28,0.0,0.0,
INV-0006,P-006,FY2025-Q1,1/15/2025,2/14/2025,377.38,0.0,Unpaid,,,,Pleasanton,Mixed Use,5815.0,Bayview Properties,Active,,0.052,75.0,377.38,0.0,377.38,
INV-0007,P-007,FY2025-Q1,1/15/2025,2/14/2025,48.72,48.72,Paid,2/9/2025,,,San Ramon,Residential,1160.0,Morgan Properties,Active,,0.042,0.0,48.72,0.0,0.0,
INV-0008,P-008,FY2025-Q1,1/15/2025,2/14/2025,1065.86,0.0,Unpaid,,,,Dublin,Industrial,13529.0,Bayview Properties,Active,,0.064,200.0,1065.86,0.0,1065.86,
INV-0009,P-009,FY2025-Q1,1/15/2025,2/14/2025,29.99,29.99,Paid,2/6/2025,,,Dublin,Residential,714.0,Morgan Properties,Active,,0.042,0.0,29.99,0.0,0.0,
INV-0010,P-010,FY2025-Q1,1/15/2025,2/14/2025,395.07,0.0,Unpaid,,,,San Ramon,Commercial,4738.0,Morgan Properties,Active,,0.057,125.0,395.07,0.0,395.07,
INV-0011,P-011,FY2025-Q1,1/15/2025,2/14/2025,278.94,278.94,Paid,2/8/2025,,,San Ramon,Mixed Use,3922.0,Ramirez Family Trust,Active,,0.052,75.0,278.94,0.0,0.0,
INV-0012,P-012,FY2025-Q1,1/15/2025,2/14/2025,345.92,345.92,Paid,2/11/2025,,,Dublin,Mixed Use,5210.0,Morgan Properties,Active,,0.052,75.0,345.92,0.0,0.0,
INV-0013,P-013,FY2025-Q1,1/15/2025,2/14/2025,246.44,246.44,Paid,2/2/2025,,,Walnut Creek,Mixed Use,3297.0,Canyon Creek LLC,Active,Missing parcel ID,0.052,75.0,246.44,0.0,0.0,Missing parcel ID
INV-0014,P-014,FY2025-Q1,1/15/2025,2/14/2025,531.18,0.0,Past Due,,,,Walnut Creek,Commercial,7126.0,Canyon Creek LLC,Active,,0.057,125.0,531.18,0.0,531.18,
INV-0015,P-015,FY2025-Q1,1/15/2025,2/14/2025,423.6,313.78,Paid,2/8/2025,,Possible incorrect charge,San Ramon,Mixed Use,4592.0,City Facilities Division,Active,,0.052,75.0,313.78,109.82,109.82,Possible incorrect charge
INV-0016,P-016,FY2025-Q1,1/15/2025,2/14/2025,459.53,459.53,Paid,2/8/2025,,,Danville,Commercial,5869.0,Greenway Partners,Active,,0.057,125.0,459.53,0.0,0.0,
INV-0017,P-017,FY2025-Q1,1/15/2025,2/14/2025,241.61,241.61,Paid,2/4/2025,,,Pleasanton,Mixed Use,3204.0,Tri-Valley Holdings,Active,,0.052,75.0,241.61,0.0,0.0,
INV-0018,P-018,FY2025-Q1,1/15/2025,2/14/2025,1034.88,1034.88,Paid,2/5/2025,,,Dublin,Industrial,13045.0,City Facilities Division,Active,,0.064,200.0,1034.88,0.0,0.0,
INV-0019,P-019,FY2025-Q1,1/15/2025,2/14/2025,523.18,261.59,Disputed,,Rate questioned,,Walnut Creek,Municipal,13415.0,Tri-Valley Holdings,Active,,0.039,0.0,523.18,0.0,261.59,
INV-0020,P-020,FY2025-Q1,1/15/2025,2/14/2025,50.74,50.74,Paid,2/13/2025,,,San Ramon,Residential,1208.0,Greenway Partners,Active,,0.042,0.0,50.74,0.0,0.0,
INV-0021,P-021,FY2025-Q1,1/15/2025,2/14/2025,1094.46,1094.46,Paid,2/13/2025,,,Dublin,Industrial,13976.0,Bayview Properties,Active,,0.064,200.0,1094.46,0.0,0.0,
INV-0022,P-022,FY2025-Q1,1/15/2025,2/14/2025,180.92,0.0,Unpaid,,,,Pleasanton,Commercial,981.0,East Bay Retail Group,Active,,0.057,125.0,180.92,0.0,180.92,
INV-0023,P-023,FY2025-Q1,1/15/2025,2/14/2025,314.07,0.0,Disputed,,Area under review,,San Ramon,Municipal,8053.0,Greenway Partners,Active,,0.039,0.0,314.07,0.0,314.07,
INV-0024,P-024,FY2025-Q1,1/15/2025,2/14/2025,266.83,266.83,Paid,2/8/2025,,,San Ramon,Mixed Use,3689.0,Greenway Partners,Active,,0.052,75.0,266.83,0.0,0.0,
INV-0025,P-025,FY2025-Q1,1/15/2025,2/14/2025,309.57,0.0,Past Due,,,,Walnut Creek,Mixed Use,4511.0,Tri-Valley Holdings,Active,,0.052,75.0,309.57,0.0,309.57,
INV-0026,P-026,FY2025-Q1,1/15/2025,2/14/2025,52.75,0.0,Unpaid,,,,Walnut Creek,Residential,1256.0,Ramirez Family Trust,Inactive,,0.042,0.0,52.75,0.0,52.75,
INV-0027,P-027,FY2025-Q1,1/15/2025,2/14/2025,413.48,413.48,Paid,2/11/2025,,,San Ramon,Commercial,5061.0,Greenway Partners,Inactive,,0.057,125.0,413.48,0.0,0.0,
INV-0028,P-028,FY2025-Q1,1/15/2025,2/14/2025,269.12,269.12,Paid,2/5/2025,,,San Ramon,Mixed Use,3733.0,Ramirez Family Trust,Active,,0.052,75.0,269.12,0.0,0.0,
