property_id,service_address,city,zip_code,parcel_id,property_type,impervious_area_sqft,owner_name,account_status,Data_quality_flag.
P-001,426 Market St,Pleasanton,94566,APN-120001,Mixed Use,"6,224",Greenway Partners,Active,
P-002,7386 Dougherty Rd,Danville,94582,APN-120002,Municipal,"7,190",City Facilities Division,Inactive,
P-003,3502 Camino Ramon,Pleasanton,94566,APN-120003,Municipal,"9,448",Tri-Valley Holdings,Inactive,
P-004,7544 Market St,Danville,94582,APN-120004,Residential,815,City Facilities Division,Active,
P-005,4790 Dougherty Rd,Danville,94582,APN-120005,Commercial,"6,461",Ramirez Family Trust,Inactive,
P-006,3688 Crow Canyon Pl,Pleasanton,94566,APN-120006,Mixed Use,"5,815",Bayview Properties,Active,
P-007,4660 Market St,San Ramon,94566,APN-120007,Residential,"1,160",Morgan Properties,Active,
P-008,648 Crow Canyon Pl,Dublin,94568,APN-120008,Industrial,"13,529",Bayview Properties,Active,
P-009,799 Crow Canyon Pl,Dublin,94568,APN-120009,Residential,714,Morgan Properties,Active,
P-010,4444 Market St,San Ramon,94582,APN-120010,Commercial,"4,738",Morgan Properties,Active,
P-011,1447 Crow Canyon Pl,San Ramon,94582,APN-120011,Mixed Use,"3,922",Ramirez Family Trust,Active,
P-012,4042 Oak Grove Rd,Dublin,94568,APN-120012,Mixed Use,"5,210",Morgan Properties,Active,
P-013,2106 Alcosta Blvd,Walnut Creek,94596,,Mixed Use,"3,297",Canyon Creek LLC,Active,Missing parcel ID
P-014,4324 Crow Canyon Pl,Walnut Creek,94596,APN-120014,Commercial,"7,126",Canyon Creek LLC,Active,
P-015,1294 Crow Canyon Pl,San Ramon,94582,APN-120015,Mixed Use,"4,592",City Facilities Division,Active,
P-016,5672 Oak Grove Rd,Danville,94582,APN-120016,Commercial,"5,869",Greenway Partners,Active,
P-017,1627 Bollinger Canyon Rd,Pleasanton,94566,APN-120017,Mixed Use,"3,204",Tri-Valley Holdings,Active,
