billing_period,property_type,rate_per_sqft,base_fee,calculation_rule
FY2025-Q1,Residential,$0.04 ,$0.00 ,Quarterly charge = impervious area ? rate
FY2025-Q1,Commercial,$0.06 ,$125.00 ,Area charge plus base fee
FY2025-Q1,Industrial,$0.06 ,$200.00 ,Area charge plus base fee
FY2025-Q1,Municipal,$0.04 ,$0.00 ,No base fee
FY2025-Q1,Mixed Use,$0.05 ,$75.00 ,Area charge plus base fee
FY2025-Q2,Residential,$0.04 ,$0.00 ,Quarterly charge = impervious area ? rate
FY2025-Q2,Commercial,$0.06 ,$125.00 ,Area charge plus base fee
FY2025-Q2,Industrial,$0.07 ,$200.00 ,Area charge plus base fee
FY2025-Q2,Municipal,$0.04 ,$0.00 ,No base fee
FY2025-Q2,Mixed Use,$0.05 ,$75.00 ,Area charge plus base fee
